date,billion kilowatthours
Dec 2026,10.58
Nov 2026,8.25
Oct 2026,8.56
Sep 2026,11.26
Aug 2026,13.72
Jul 2026,13.84
Jun 2026,11.07
May 2026,8.76
Apr 2026,7.89
Mar 2026,8.88
Feb 2026,10.44
Jan 2026,12.65
Dec 2025,10.48
Nov 2025,8.16
Oct 2025,8.45
Sep 2025,11.10
Aug 2025,13.51
Jul 2025,13.63
Jun 2025,10.92
May 2025,8.64
Apr 2025,7.78
Mar 2025,8.65
Feb 2025,11.05
Jan 2025,14.09
Dec 2024,9.92
Nov 2024,7.57
Oct 2024,8.36
Sep 2024,10.91
Aug 2024,13.16
Jul 2024,13.50
Jun 2024,11.20
May 2024,8.77
Apr 2024,7.54
Mar 2024,8.23
Feb 2024,10.73
Jan 2024,13.13
Dec 2023,9.72
Nov 2023,7.83
Oct 2023,8.03
Sep 2023,11.14
Aug 2023,13.01
Jul 2023,12.42
Jun 2023,9.73
May 2023,7.74
Apr 2023,7.49
Mar 2023,8.25
Feb 2023,9.46
Jan 2023,11.05
Dec 2022,10.55
Nov 2022,7.92
Oct 2022,7.69
Sep 2022,10.40
Aug 2022,12.63
Jul 2022,13.55
Jun 2022,11.17
May 2022,8.55
Apr 2022,7.63
Mar 2022,8.90
Feb 2022,11.42
Jan 2022,11.89
Dec 2021,9.29
Nov 2021,8.22
Oct 2021,8.21
Sep 2021,10.73
Aug 2021,12.60
Jul 2021,12.08
Jun 2021,10.03
May 2021,7.66
Apr 2021,7.41
Mar 2021,9.40
Feb 2021,11.64
Jan 2021,12.15
Dec 2020,10.70
Nov 2020,7.55
Oct 2020,7.75
Sep 2020,10.69
Aug 2020,12.75
Jul 2020,12.97
Jun 2020,10.20
May 2020,7.92
Apr 2020,7.43
Mar 2020,8.52
Feb 2020,9.75
Jan 2020,10.10
Dec 2019,9.92
Nov 2019,8.47
Oct 2019,9.09
Sep 2019,11.86
Aug 2019,12.39
Jul 2019,12.43
Jun 2019,10.31
May 2019,8.20
Apr 2019,7.34
Mar 2019,9.14
Feb 2019,9.86
Jan 2019,11.28
Dec 2018,10.59
Nov 2018,8.49
Oct 2018,8.96
Sep 2018,11.34
Aug 2018,12.27
Jul 2018,12.69
Jun 2018,11.11
May 2018,8.50
Apr 2018,7.70
Mar 2018,8.33
Feb 2018,10.28
Jan 2018,14.23
Dec 2017,10.14
Nov 2017,7.76
Oct 2017,8.30
Sep 2017,9.65
Aug 2017,11.84
Jul 2017,12.07
Jun 2017,9.68
May 2017,7.82
Apr 2017,7.38
Mar 2017,8.08
Feb 2017,8.40
Jan 2017,10.69
Dec 2016,9.75
Nov 2016,7.31
Oct 2016,8.47
Sep 2016,11.64
Aug 2016,13.12
Jul 2016,12.97
Jun 2016,10.32
May 2016,7.52
Apr 2016,7.01
Mar 2016,8.37
Feb 2016,10.84
Jan 2016,11.30
Dec 2015,8.48
Nov 2015,7.11
Oct 2015,7.66
Sep 2015,10.25
Aug 2015,12.41
Jul 2015,12.47
Jun 2015,10.13
May 2015,7.70
Apr 2015,7.19
Mar 2015,10.59
Feb 2015,12.06
Jan 2015,12.25
Dec 2014,10.28
Nov 2014,8.46
Oct 2014,7.86
Sep 2014,10.72
Aug 2014,11.43
Jul 2014,11.37
Jun 2014,10.00
May 2014,7.72
Apr 2014,7.55
Mar 2014,9.90
Feb 2014,12.66
Jan 2014,13.84
Dec 2013,11.03
Nov 2013,8.02
Oct 2013,8.07
Sep 2013,10.63
Aug 2013,11.54
Jul 2013,11.57
Jun 2013,9.90
May 2013,7.58
Apr 2013,8.11
Mar 2013,9.90
Feb 2013,9.88
Jan 2013,11.31
Dec 2012,9.36
Nov 2012,8.01
Oct 2012,7.49
Sep 2012,10.24
Aug 2012,12.44
Jul 2012,13.16
Jun 2012,10.38
May 2012,8.36
Apr 2012,7.08
Mar 2012,7.94
Feb 2012,9.30
Jan 2012,10.72
Dec 2011,9.67
Nov 2011,7.56
Oct 2011,7.45
Sep 2011,10.60
Aug 2011,13.67
Jul 2011,13.25
Jun 2011,11.22
May 2011,8.03
Apr 2011,7.67
Mar 2011,8.46
Feb 2011,11.27
Jan 2011,13.77
Dec 2010,11.73
Nov 2010,7.45
Oct 2010,8.00
Sep 2010,11.61
Aug 2010,14.07
Jul 2010,13.89
Jun 2010,11.38
May 2010,7.84
Apr 2010,7.46
Mar 2010,10.36
Feb 2010,12.24
Jan 2010,13.99
Dec 2009,10.37
Nov 2009,7.42
Oct 2009,7.96
Sep 2009,10.01
Aug 2009,11.64
Jul 2009,12.29
Jun 2009,9.93
May 2009,7.72
Apr 2009,7.37
Mar 2009,8.99
Feb 2009,10.89
Jan 2009,11.83
Dec 2008,10.89
Nov 2008,7.98
Oct 2008,8.03
Sep 2008,10.64
Aug 2008,12.37
Jul 2008,12.26
Jun 2008,10.55
May 2008,7.44
Apr 2008,7.58
Mar 2008,9.48
Feb 2008,11.08
Jan 2008,11.68
Dec 2007,9.60
Nov 2007,7.71
Oct 2007,8.97
Sep 2007,12.62
Aug 2007,13.61
Jul 2007,12.29
Jun 2007,10.42
May 2007,8.18
Apr 2007,7.52
Mar 2007,9.19
Feb 2007,11.64
Jan 2007,10.50
Dec 2006,9.91
Nov 2006,7.87
Oct 2006,7.89
Sep 2006,10.93
Aug 2006,13.40
Jul 2006,12.68
Jun 2006,10.15
May 2006,7.60
Apr 2006,7.62
Mar 2006,8.94
Feb 2006,9.41
Jan 2006,10.90
