date,precipitation
2/1/2025,111
1/1/2025,193.9
12/1/2024,286.4
11/1/2024,226.5
10/1/2024,203.2
9/1/2024,171.8
8/1/2024,110.4
7/1/2024,101.9
6/1/2024,160.3
5/1/2024,103
4/1/2024,43
3/1/2024,114.7
2/1/2024,170.9
1/1/2024,141
12/1/2023,130.7
11/1/2023,209.5
10/1/2023,43.5
9/1/2023,27.8
8/1/2023,253.3
7/1/2023,64.5
6/1/2023,43.2
5/1/2023,59.5
4/1/2023,65.1
3/1/2023,108.2
2/1/2023,156.3
1/1/2023,53.5
12/1/2022,167.6
11/1/2022,226.6
10/1/2022,121.8
9/1/2022,61.5
8/1/2022,92.2
7/1/2022,30
6/1/2022,28.4
5/1/2022,38.9
4/1/2022,60.2
3/1/2022,120.3
2/1/2022,34.8
1/1/2022,136.4
12/1/2021,112.4
11/1/2021,112
10/1/2021,102.2
9/1/2021,96.4
8/1/2021,56.7
7/1/2021,19.6
6/1/2021,27.3
5/1/2021,11.4
4/1/2021,175.1
3/1/2021,62.7
2/1/2021,84.3
1/1/2021,175
12/1/2020,90
11/1/2020,100.2
10/1/2020,161.5
9/1/2020,53.8
8/1/2020,140.3
7/1/2020,57.2
6/1/2020,85
5/1/2020,176
4/1/2020,294.6
3/1/2020,258.8
2/1/2020,102.3
1/1/2020,42.6
12/1/2019,300.6
11/1/2019,60.1
10/1/2019,135.4
9/1/2019,56.8
8/1/2019,214.7
7/1/2019,133.7
6/1/2019,313.4
5/1/2019,210.3
4/1/2019,86.3
3/1/2019,245.4
2/1/2019,22.3
1/1/2019,209
12/1/2018,75
11/1/2018,89.5
10/1/2018,289.5
9/1/2018,122.4
8/1/2018,83.7
7/1/2018,56.6
6/1/2018,90
5/1/2018,76.5
4/1/2018,128.5
3/1/2018,78.3
2/1/2018,79.7
1/1/2018,112.9
12/1/2017,98.5
11/1/2017,172.1
10/1/2017,153.4
9/1/2017,81.8
8/1/2017,78.7
7/1/2017,75.5
6/1/2017,6.4
5/1/2017,156.5
4/1/2017,238.5
3/1/2017,110.8
2/1/2017,126.6
1/1/2017,81.2
12/1/2016,89.4
11/1/2016,134.6
10/1/2016,27.9
9/1/2016,35.5
8/1/2016,208.7
7/1/2016,144.3
6/1/2016,40.6
5/1/2016,20
4/1/2016,59.1
3/1/2016,48.6
2/1/2016,182.3
1/1/2016,95.9
12/1/2015,96.3
11/1/2015,94.4
10/1/2015,97.5
9/1/2015,44
8/1/2015,30.6
7/1/2015,75.9
6/1/2015,73
5/1/2015,49.5
4/1/2015,78.4
3/1/2015,154.8
2/1/2015,120.1
1/1/2015,55.1
12/1/2014,71.7
11/1/2014,66.3
10/1/2014,33.1
9/1/2014,18.2
8/1/2014,103
7/1/2014,71.5
6/1/2014,35.3
5/1/2014,100.6
4/1/2014,89.4
