date,heating_degree
Feb 2026,541.0
Jan 2026,707.3
Dec 2025,626.9
Nov 2025,413.1
Oct 2025,163.9
Sep 2025,18.7
Aug 2025,0.2
Jul 2025,0.0
Jun 2025,2.1
May 2025,53.0
Apr 2025,173.6
Mar 2025,404.2
Feb 2025,511.2
Jan 2025,918.3
Dec 2024,630.5
Nov 2024,272.6
Oct 2024,131.7
Sep 2024,10.7
Aug 2024,0.0
Jul 2024,0.0
Jun 2024,0.2
May 2024,28.2
Apr 2024,137.9
Mar 2024,356.6
Feb 2024,449.4
Jan 2024,851.1
Dec 2023,598.0
Nov 2023,414.7
Oct 2023,145.5
Sep 2023,13.7
Aug 2023,0.0
Jul 2023,0.0
Jun 2023,6.9
May 2023,61.8
Apr 2023,187.1
Mar 2023,398.3
Feb 2023,413.4
Jan 2023,577.4
Dec 2022,671.0
Nov 2022,429.0
Oct 2022,240.3
Sep 2022,22.6
Aug 2022,0.0
Jul 2022,0.0
Jun 2022,0.7
May 2022,31.8
Apr 2022,217.0
Mar 2022,387.5
Feb 2022,591.0
Jan 2022,846.8
Dec 2021,414.0
Nov 2021,522.1
Oct 2021,103.7
Sep 2021,19.7
Aug 2021,0.0
Jul 2021,0.0
Jun 2021,0.9
May 2021,82.8
Apr 2021,231.1
Mar 2021,338.4
Feb 2021,715.9
Jan 2021,737.7
Dec 2020,725.7
Nov 2020,344.6
Oct 2020,154.7
Sep 2020,20.0
Aug 2020,0.0
Jul 2020,0.0
Jun 2020,2.7
May 2020,86.4
Apr 2020,247.8
Mar 2020,293.5
Feb 2020,553.8
Jan 2020,634.7
Dec 2019,572.7
Nov 2019,573.2
Oct 2019,128.4
Sep 2019,1.4
Aug 2019,0.0
Jul 2019,0.0
Jun 2019,3.2
May 2019,24.3
Apr 2019,165.5
Mar 2019,505.6
Feb 2019,459.0
Jan 2019,748.3
Dec 2018,633.2
Nov 2018,565.9
Oct 2018,138.5
Sep 2018,2.6
Aug 2018,0.0
Jul 2018,0.0
Jun 2018,0.0
May 2018,13.3
Apr 2018,311.9
Mar 2018,474.6
Feb 2018,410.2
Jan 2018,928.8
Dec 2017,729.1
Nov 2017,407.9
Oct 2017,145.6
Sep 2017,24.1
Aug 2017,0.7
Jul 2017,0.0
Jun 2017,3.4
May 2017,56.8
Apr 2017,94.0
Mar 2017,387.6
Feb 2017,408.8
Jan 2017,578.9
Dec 2016,672.2
Nov 2016,339.3
Oct 2016,89.2
Sep 2016,5.0
Aug 2016,0.0
Jul 2016,0.0
Jun 2016,0.2
May 2016,71.2
Apr 2016,162.7
Mar 2016,324.1
Feb 2016,573.8
Jan 2016,857.2
Dec 2015,401.5
Nov 2015,313.5
Oct 2015,164.6
Sep 2015,13.2
Aug 2015,1.2
Jul 2015,0.0
Jun 2015,0.7
May 2015,37.4
Apr 2015,146.8
Mar 2015,445.2
Feb 2015,864.2
Jan 2015,835.9
Dec 2014,627.3
Nov 2014,625.8
