Event,Date
Student-led Drive for Hill Country,2025-08-02 11:00:00-05:00
Retreat Counselor/Peer Leader Training,2025-08-11 15:00:00-05:00
Retreat Counselor/Peer Leader Training,2025-08-12 15:00:00-05:00
Class 9 Retreat,2025-08-14
K-12 Parent Wellness Event: Back to School with Heart - Remembering & Rebuilding,2025-08-14 18:45:00-05:00
US Orientation for Parents of New & Returning Class 9 Students and Parents of New Class 10/11 Students,2025-08-16 13:00:00-05:00
Class 10/11 New Student/ASSIST Orientation ,2025-08-18 10:00:00-05:00
First Day of School,2025-08-19
K-12 Opening Assembly,2025-08-19 09:15:00-05:00
K-12 Back-to-School Dinner,2025-08-24 17:00:00-05:00
US Parents' Night,2025-08-26 17:45:00-05:00
School Holiday (Labor Day),2025-09-01
Last day to sign up for US Club Fair,2025-09-02
Last day to enroll in a new fall semester or year-long course,2025-09-03
US Club Fair-Part 1,2025-09-04 12:50:00-05:00
Senior Yearbook Photos On Quad,2025-09-05
Used Uniform Sale,2025-09-05 08:15:00-05:00
US Club Fair-Part 2,2025-09-05 12:50:00-05:00
Class 11 Parent Meeting,2025-09-09 08:45:00-05:00
Class 12 Parent Meeting,2025-09-11 08:45:00-05:00
Senior Yearbook Photos on Quad (Rain-out Date),2025-09-12
Last day for Class 11 Students to change from AP US History (APUSH) to US History (H). No changes will be made after this date.,2025-09-15
1st Academic Checkpoint,2025-09-16
K-12 Parent Wellness Event: Raising Resilience; Overseeing Perfectionism,2025-09-17 08:45:00-05:00
MS/US Yearbook Photos In Chao Assembly Room (All Day),2025-09-24
Class 9 Parent Reception,2025-09-25
MS/US Yearbook Photos In Chao Assembly Room (All Day),2025-09-25
"Classes 9-12: Last day to drop a level without grades transferring forward. If a drop in levels is made after this date, grades will transfer to the new class.",2025-09-26
Last day to drop AP Physics I to Physics I; Chemistry I (H) to Chemistry I; and AP Spanish IV to Spanish IV. No changes will be made after this date.,2025-09-26
Last day to propose a new club,2025-09-26
School Holiday (Yom Kippur),2025-10-02
Used Uniform Sale,2025-10-03 08:15:00-05:00
All-School Make-Up Photos (All Day),2025-10-07
Class 9 Student Tailgate,2025-10-10
Mid-Semester Checkpoint,2025-10-10
School Holiday (Columbus Day/Indigenous Peoples Day),2025-10-13
Class 12 Substance Abuse Prevention (Group A),2025-10-14 11:00:00-05:00
Class 12: Senior Skills Day,2025-10-15
